SSL_SCORE,PREDICTOR_RAT_AGE_AT_LATEST_ARREST,PREDICTOR_RAT_VICTIM_SHOOTING_INCIDENTS,SEX_CODE_CD,PREDICTOR_RAT_VICTIM_BATTERY_OR_ASSAULT,PREDICTOR_RAT_ARRESTS_VIOLENT_OFFENSES,PREDICTOR_RAT_GANG_AFFILIATION,PREDICTOR_RAT_NARCOTIC_ARRESTS,PREDICTOR_RAT_TREND_IN_CRIMINAL_ACTIVITY,PREDICTOR_RAT_UUW_ARRESTS,SSL_SCORE_RANK
479,less than 20,0,1,3,2,1,1,0.1,1,286
479,less than 20,0,1,1,3,1,0,-1.0,0,286
479,less than 20,1,1,1,4,1,0,2.2,0,286
479,less than 20,0,1,0,3,1,4,-0.3,0,286
479,less than 20,1,1,2,4,1,3,-1.3,2,286
479,less than 20,1,1,1,1,1,13,3.2,0,286
478,less than 20,0,1,1,0,0,0,0.2,0,296
478,less than 20,1,1,1,5,1,0,0.2,0,296
478,less than 20,0,1,0,8,1,0,4.6,0,296
478,less than 20,1,1,1,4,0,0,-0.4,2,296
477,less than 20,0,1,0,5,1,0,-0.5,2,301
477,less than 20,1,1,1,1,1,0,2.0,1,301
477,less than 20,1,1,1,1,1,5,0.3,0,301
477,less than 20,0,1,0,4,1,1,1.0,1,301
477,less than 20,1,1,2,1,1,4,3.1,0,301
477,less than 20,1,0,1,5,0,0,1.3,0,301
477,less than 20,2,1,2,1,1,0,0.1,0,301
476,less than 20,1,1,1,3,1,3,-1.1,3,308
476,less than 20,0,1,0,5,1,1,1.9,0,308
476,less than 20,0,1,0,1,1,15,-3.1,0,308
476,less than 20,0,1,1,4,1,0,0.0,2,308
476,less than 20,2,1,1,1,1,2,-1.3,0,308
476,less than 20,1,1,2,2,1,0,0.5,1,308
476,less than 20,1,1,1,0,1,4,-2.7,0,308
476,less than 20,1,1,2,3,1,1,-0.3,1,308
476,less than 20,0,1,1,1,1,0,2.1,1,308
476,less than 20,1,1,1,0,1,8,2.0,0,308
475,less than 20,0,1,0,3,1,4,0.3,0,319
475,less than 20,0,1,0,7,1,0,0.7,1,319
475,less than 20,2,1,2,2,1,0,0.5,0,319
