SSL_SCORE,PREDICTOR_RAT_AGE_AT_LATEST_ARREST,PREDICTOR_RAT_VICTIM_SHOOTING_INCIDENTS,SEX_CODE_CD,PREDICTOR_RAT_VICTIM_BATTERY_OR_ASSAULT,PREDICTOR_RAT_ARRESTS_VIOLENT_OFFENSES,PREDICTOR_RAT_GANG_AFFILIATION,PREDICTOR_RAT_NARCOTIC_ARRESTS,PREDICTOR_RAT_TREND_IN_CRIMINAL_ACTIVITY,PREDICTOR_RAT_UUW_ARRESTS,SSL_SCORE_RANK
493,less than 20,1,1,2,2,1,8,1.7,0,194
492,20-30,2,1,3,1,1,1,0.5,1,197
492,less than 20,1,1,2,1,1,1,0.4,0,197
492,less than 20,0,0,0,0,1,13,-0.3,0,197
492,less than 20,0,1,0,6,1,1,-0.6,3,197
491,less than 20,1,1,1,1,1,19,-2.6,1,201
491,less than 20,0,1,2,0,1,3,0.5,0,201
491,less than 20,2,1,2,2,1,0,0.1,0,201
490,less than 20,0,1,0,8,1,3,2.3,0,204
490,less than 20,1,1,2,1,1,6,-1.1,1,204
490,less than 20,0,1,0,6,1,0,-2.4,0,204
490,20-30,3,1,3,2,1,0,0.1,0,204
490,less than 20,1,1,1,4,1,0,2.8,1,204
490,less than 20,0,1,2,1,1,5,2.1,0,204
490,less than 20,2,1,2,2,1,0,-0.9,0,204
490,less than 20,0,1,1,5,1,0,-0.9,3,204
489,20-30,2,1,2,2,1,1,-0.8,2,212
489,less than 20,0,1,1,1,0,0,-0.1,0,212
489,less than 20,2,1,2,1,1,4,-0.6,1,212
489,less than 20,0,1,2,2,0,0,1.8,1,212
488,less than 20,1,1,1,0,1,6,0.6,0,216
488,less than 20,0,1,0,4,1,1,3.1,0,216
488,less than 20,1,0,1,0,0,0,-1.0,0,216
488,less than 20,2,1,2,0,1,6,-1.1,0,216
488,less than 20,2,1,2,2,1,0,-0.1,1,216
488,20-30,0,1,0,0,1,29,-3.4,0,216
487,less than 20,0,1,0,6,1,0,1.6,1,222
487,20-30,2,1,2,2,1,1,-1.2,0,222
487,less than 20,1,0,2,0,0,3,2.3,0,222
487,less than 20,1,1,1,5,1,0,0.0,0,222
487,less than 20,1,1,1,3,1,0,0.6,0,222
486,less than 20,0,1,0,1,1,21,-0.5,0,227
486,less than 20,2,1,2,2,1,0,-0.4,2,227
486,20-30,0,1,1,1,0,4,-0.2,1,227
486,less than 20,0,1,2,2,0,2,-0.3,0,227
486,20-30,2,1,2,2,1,2,0.0,0,227
486,less than 20,0,1,0,7,1,2,-3.1,2,227
486,less than 20,1,1,1,2,1,0,0.6,1,227
486,less than 20,0,1,0,4,1,6,0.1,1,227
486,less than 20,1,1,1,1,1,7,0.9,0,227
485,less than 20,0,1,0,7,1,1,2.7,0,236
485,less than 20,0,1,0,1,1,9,3.2,0,236
485,less than 20,0,1,0,6,1,0,1.5,1,236
485,less than 20,2,1,2,0,1,7,1.7,0,236
485,less than 20,1,1,1,3,1,8,2.2,1,236
485,less than 20,1,1,3,1,1,0,0.6,0,236
484,less than 20,0,1,0,3,1,5,-0.3,0,242
484,less than 20,0,1,0,4,1,0,1.4,1,242
484,less than 20,0,1,0,0,1,18,4.6,0,242
484,less than 20,1,1,2,2,1,0,1.4,1,242
484,less than 20,2,1,2,0,1,3,-0.1,0,242
483,less than 20,0,1,0,3,1,7,1.6,1,247
483,less than 20,2,1,3,1,1,2,-0.5,1,247
483,20-30,0,1,0,1,1,15,-3.8,1,247
483,less than 20,0,1,1,4,1,0,1.4,1,247
483,less than 20,2,1,2,2,1,5,0.5,0,247
483,less than 20,2,1,2,2,1,2,1.0,0,247
483,less than 20,1,1,1,4,1,0,-0.9,2,247
483,less than 20,0,1,2,3,1,2,0.8,0,247
483,20-30,3,1,2,1,1,1,0.0,0,247
483,less than 20,1,1,2,2,1,0,3.0,0,247
483,less than 20,0,1,0,3,1,1,-1.0,3,247
482,less than 20,0,1,0,7,1,1,0.2,0,258
482,less than 20,1,1,1,5,0,0,-0.1,1,258
482,less than 20,0,1,0,1,0,1,-0.1,1,258
482,20-30,2,1,2,0,1,14,-3.1,0,258
482,20-30,3,1,2,0,1,5,-2.8,0,258
482,20-30,2,1,2,1,1,2,-0.6,1,258
482,less than 20,1,1,1,0,1,0,0.6,0,258
482,less than 20,0,1,0,4,1,2,2.3,0,258
481,less than 20,1,0,3,3,0,0,0.2,0,266
481,20-30,1,1,3,1,1,7,-1.7,0,266
481,less than 20,1,1,1,0,0,1,0.7,0,266
481,20-30,2,1,2,3,1,0,0.7,2,266
481,less than 20,1,1,1,0,1,9,-0.2,0,266
481,less than 20,1,1,1,3,1,0,-1.4,2,266
481,20-30,1,1,3,0,1,4,1.9,0,266
481,less than 20,0,1,0,8,1,0,1.9,0,266
481,less than 20,2,1,2,0,1,1,1.2,0,266
481,less than 20,0,1,0,2,1,12,3.2,1,266
481,less than 20,1,1,1,2,1,0,1.8,1,266
480,less than 20,0,1,3,3,1,1,-2.2,1,277
480,less than 20,0,1,0,2,0,0,0.4,0,277
480,20-30,1,1,2,2,1,1,0.2,1,277
480,less than 20,2,1,2,3,1,1,-0.8,0,277
480,less than 20,0,1,1,1,0,0,-0.1,0,277
480,less than 20,1,1,1,4,1,1,-0.9,0,277
480,less than 20,1,1,3,2,1,2,0.7,0,277
480,less than 20,0,1,0,9,1,0,-1.5,2,277
480,less than 20,2,1,2,0,1,3,-0.6,0,277
479,less than 20,1,1,2,6,1,1,-1.5,1,286
479,less than 20,0,1,0,3,0,1,0.5,1,286
479,less than 20,1,1,1,4,1,1,-0.8,0,286
479,less than 20,0,1,3,2,1,1,0.1,1,286
479,20-30,2,1,3,2,1,2,-0.4,1,286
479,less than 20,0,1,1,3,1,0,-1.0,0,286
479,less than 20,1,1,1,4,1,0,2.2,0,286
479,less than 20,0,1,0,3,1,4,-0.3,0,286
479,less than 20,1,1,2,4,1,3,-1.3,2,286
479,less than 20,1,1,1,1,1,13,3.2,0,286
478,30-40,1,1,6,1,1,0,-0.6,1,296
478,less than 20,0,1,1,0,0,0,0.2,0,296
478,less than 20,1,1,1,5,1,0,0.2,0,296
478,less than 20,0,1,0,8,1,0,4.6,0,296
478,less than 20,1,1,1,4,0,0,-0.4,2,296
477,less than 20,0,1,0,5,1,0,-0.5,2,301
477,less than 20,1,1,1,1,1,0,2.0,1,301
477,less than 20,1,1,1,1,1,5,0.3,0,301
477,less than 20,0,1,0,4,1,1,1.0,1,301
477,less than 20,1,1,2,1,1,4,3.1,0,301
477,less than 20,1,0,1,5,0,0,1.3,0,301
477,less than 20,2,1,2,1,1,0,0.1,0,301
476,less than 20,1,1,1,3,1,3,-1.1,3,308
476,less than 20,0,1,0,5,1,1,1.9,0,308
476,less than 20,0,1,0,1,1,15,-3.1,0,308
476,20-30,0,0,3,0,0,3,0.5,0,308
476,less than 20,0,1,1,4,1,0,0.0,2,308
476,less than 20,2,1,1,1,1,2,-1.3,0,308
476,less than 20,1,1,2,2,1,0,0.5,1,308
476,less than 20,1,1,1,0,1,4,-2.7,0,308
476,less than 20,1,1,2,3,1,1,-0.3,1,308
476,less than 20,0,1,1,1,1,0,2.1,1,308
476,less than 20,1,1,1,0,1,8,2.0,0,308
475,less than 20,0,1,0,3,1,4,0.3,0,319
475,less than 20,0,1,0,7,1,0,0.7,1,319
475,less than 20,2,1,2,2,1,0,0.5,0,319
475,20-30,1,1,1,0,1,11,-0.4,0,319
475,less than 20,0,1,0,3,1,3,0.6,1,319
475,20-30,2,1,2,0,1,0,-0.4,0,319
475,less than 20,0,1,2,3,1,0,1.6,3,319
475,less than 20,1,1,1,3,1,5,0.5,0,319
475,less than 20,3,1,3,1,1,0,0.0,0,319
475,20-30,3,1,3,0,1,1,-0.3,0,319
475,less than 20,0,1,1,0,1,14,3.4,0,319
475,less than 20,0,1,1,2,1,1,0.3,1,319
475,less than 20,1,1,2,2,1,0,0.7,1,319
475,less than 20,0,1,1,3,1,0,0.8,1,319
475,less than 20,1,1,1,4,1,3,-0.4,1,319
474,20-30,2,1,2,3,1,0,0.3,2,334
474,less than 20,2,1,2,2,1,3,-0.7,0,334
474,less than 20,1,1,1,5,1,1,0.4,1,334
474,20-30,1,1,1,3,1,1,-1.2,3,334
474,20-30,0,1,2,3,1,2,-0.8,1,334
474,20-30,2,1,2,3,1,1,0.4,3,334
474,less than 20,0,1,0,3,1,1,-0.3,1,334
474,less than 20,2,1,2,2,1,2,0.2,0,334
474,20-30,1,1,1,0,1,10,0.0,0,334
473,less than 20,0,1,0,5,1,1,-1.6,1,343
473,less than 20,0,1,0,4,1,1,-2.1,1,343
473,20-30,2,1,2,1,1,0,-0.6,0,343
473,less than 20,1,1,2,3,1,1,1.8,0,343
473,20-30,0,0,2,0,0,0,0.0,0,343
473,less than 20,0,1,0,4,1,0,0.4,0,343
473,less than 20,0,1,0,2,0,0,-1.0,1,343
473,less than 20,1,1,1,4,1,0,1.1,0,343
473,less than 20,1,1,1,4,1,2,-0.2,2,343
473,less than 20,2,1,2,2,1,0,0.1,1,343
473,20-30,2,1,4,0,1,1,-0.6,0,343
473,less than 20,0,1,0,0,0,0,-0.3,0,343
473,less than 20,0,1,0,4,1,9,3.7,0,343
472,less than 20,1,1,1,0,0,0,0.8,0,356
472,less than 20,0,1,0,6,1,0,2.7,0,356
472,less than 20,1,1,0,5,1,2,0.6,1,356
472,20-30,0,1,1,1,1,3,1.5,1,356
472,less than 20,1,1,1,1,0,3,1.1,1,356
472,less than 20,2,1,1,0,0,1,0.4,0,356
472,less than 20,1,1,1,2,1,3,2.2,0,356
471,less than 20,0,1,0,2,0,0,-0.4,0,363
471,less than 20,1,1,2,0,1,0,-1.9,0,363
471,less than 20,1,1,1,1,1,6,1.2,1,363
471,20-30,0,0,5,0,0,0,0.0,0,363
471,30-40,0,1,0,0,1,22,-1.8,0,363
471,less than 20,0,1,0,7,1,1,0.9,2,363
471,20-30,1,1,2,4,1,0,-1.9,2,363
471,less than 20,0,1,0,5,1,1,3.0,2,363
470,less than 20,2,1,2,2,1,2,0.8,0,371
470,20-30,2,1,2,0,1,6,0.5,0,371
470,20-30,1,1,1,0,1,12,2.0,0,371
470,20-30,2,1,2,0,1,6,0.4,0,371
470,less than 20,1,1,1,2,1,13,-0.9,0,371
470,less than 20,0,1,1,4,0,0,3.3,0,371
470,less than 20,0,1,0,3,0,3,2.3,0,371
470,20-30,1,1,1,4,1,0,1.6,3,371
470,less than 20,0,1,0,7,0,4,0.4,2,371
470,less than 20,1,1,1,3,1,2,-1.4,0,371
469,less than 20,3,1,2,0,0,3,0.4,0,381
469,less than 20,0,1,0,7,1,0,-0.4,1,381
469,less than 20,0,1,0,4,1,1,2.0,1,381
469,less than 20,0,1,1,3,1,0,-1.4,0,381
469,less than 20,0,1,0,5,1,1,-0.5,0,381
469,20-30,2,1,2,4,1,0,-1.4,1,381
469,less than 20,0,1,0,3,1,10,-1.0,1,381
469,less than 20,0,1,0,5,1,8,-0.8,1,381
469,20-30,1,1,3,1,1,2,-0.2,0,381
469,less than 20,0,1,1,5,1,1,2.1,0,381
469,less than 20,1,1,1,3,1,0,-0.8,3,381
469,less than 20,0,0,1,2,0,1,0.3,0,381
469,20-30,2,1,2,2,1,0,0.1,2,381
