SSL_SCORE,PREDICTOR_RAT_AGE_AT_LATEST_ARREST,PREDICTOR_RAT_VICTIM_SHOOTING_INCIDENTS,SEX_CODE_CD,PREDICTOR_RAT_VICTIM_BATTERY_OR_ASSAULT,PREDICTOR_RAT_ARRESTS_VIOLENT_OFFENSES,PREDICTOR_RAT_GANG_AFFILIATION,PREDICTOR_RAT_NARCOTIC_ARRESTS,PREDICTOR_RAT_TREND_IN_CRIMINAL_ACTIVITY,PREDICTOR_RAT_UUW_ARRESTS,SSL_SCORE_RANK
358,30-40,0,1,1,2,1,0,1.2,0,17742
358,30-40,2,1,1,0,1,1,0.4,0,17742
358,30-40,0,1,2,0,0,0,0.3,0,17742
358,30-40,0,1,0,3,1,4,1.4,0,17742
358,30-40,1,1,0,1,1,3,-0.1,0,17742
357,30-40,0,1,0,0,1,1,-0.3,0,18932
357,30-40,2,1,1,0,1,0,1.4,0,18932
357,30-40,0,0,2,0,1,2,0.4,0,18932
357,30-40,0,1,1,1,0,0,0.0,1,18932
356,30-40,0,1,2,0,0,0,0.5,0,20051
356,30-40,1,1,0,2,1,1,0.1,2,20051
356,30-40,0,1,0,3,1,1,0.2,3,20051
356,30-40,0,1,0,0,0,2,-0.2,0,20051
356,30-40,0,1,0,0,1,10,0.9,0,20051
355,30-40,1,1,1,1,1,3,-1.1,1,20837
355,30-40,0,1,1,1,1,4,0.4,0,20837
355,30-40,1,1,1,0,1,6,-1.0,0,20837
355,30-40,0,1,1,1,1,0,0.2,0,20837
355,30-40,3,1,0,2,1,1,0.1,1,20837
355,30-40,0,0,1,1,0,0,0.3,1,20837
355,30-40,0,1,0,2,1,2,3.8,2,20837
354,30-40,1,1,0,1,1,4,1.1,1,21868
354,30-40,0,1,1,2,1,0,0.0,1,21868
354,30-40,2,1,1,0,1,0,0.2,0,21868
354,30-40,1,1,2,0,0,0,0.0,0,21868
354,30-40,1,1,1,1,1,0,-0.1,1,21868
353,30-40,1,1,1,1,1,2,-0.2,1,23431
353,30-40,1,1,1,2,0,0,0.1,0,23431
353,30-40,0,1,3,0,0,0,-0.1,0,23431
353,30-40,1,1,1,2,1,1,-0.3,0,23431
353,30-40,0,0,2,0,0,0,0.3,0,23431
353,30-40,0,1,0,1,1,9,0.8,1,23431
353,30-40,0,1,0,2,1,2,0.7,2,23431
353,30-40,0,1,1,1,1,2,0.0,1,23431
353,30-40,1,1,1,0,1,1,0.9,0,23431
352,30-40,1,1,1,1,1,0,0.1,1,24999
351,30-40,0,1,3,0,0,1,-2.3,0,25858
351,30-40,1,1,1,1,0,0,-0.1,1,25858
351,30-40,1,1,1,0,1,1,1.1,0,25858
351,30-40,1,0,1,2,0,1,0.4,0,25858
351,30-40,1,1,1,1,1,2,-0.9,1,25858
351,30-40,2,1,1,0,1,3,-0.5,0,25858
351,30-40,0,1,1,1,0,1,0.4,0,25858
351,30-40,0,1,0,1,1,9,0.1,0,25858
350,30-40,0,1,0,2,1,5,-0.3,1,27089
350,30-40,0,1,1,1,0,0,-0.2,0,27089
350,30-40,0,1,1,1,1,2,0.6,0,27089
350,30-40,0,1,0,3,1,0,1.2,2,27089
350,30-40,0,0,2,0,0,1,-0.1,0,27089
350,30-40,0,0,2,1,0,0,-0.1,0,27089
349,30-40,1,1,1,1,1,0,-0.2,0,29213
349,30-40,0,1,1,0,1,10,-0.9,0,29213
349,30-40,0,1,1,0,0,2,0.8,0,29213
349,30-40,0,1,0,1,1,4,-1.9,0,29213
349,30-40,0,0,2,0,0,0,0.6,0,29213
349,30-40,1,1,2,0,1,0,0.3,0,29213
349,30-40,1,1,1,0,0,0,0.1,0,29213
348,30-40,1,1,0,1,1,1,0.0,1,30850
348,30-40,0,1,2,0,1,0,0.1,0,30850
348,30-40,0,1,1,0,1,2,0.0,0,30850
348,30-40,1,1,1,0,1,1,-0.6,0,30850
348,30-40,0,1,1,1,1,0,0.4,1,30850
347,30-40,0,1,1,1,0,0,0.5,1,31855
347,30-40,0,1,1,0,1,0,0.3,0,31855
347,30-40,0,1,2,0,0,0,0.0,0,31855
347,30-40,1,1,1,0,1,4,-0.5,0,31855
347,30-40,0,1,0,1,1,3,-1.6,1,31855
347,30-40,1,1,1,0,1,4,0.3,0,31855
347,30-40,0,1,0,0,0,10,2.7,0,31855
347,30-40,0,1,1,0,1,8,-1.7,0,31855
347,30-40,2,1,0,1,1,2,0.8,1,31855
347,30-40,0,0,2,0,0,0,-0.3,0,31855
347,30-40,0,1,2,0,1,0,1.0,0,31855
347,30-40,1,1,1,1,1,2,0.1,0,31855
347,30-40,0,0,1,1,0,3,0.2,0,31855
347,30-40,1,1,2,0,0,0,0.1,0,31855
346,30-40,0,1,1,1,1,0,0.8,1,33486
346,30-40,0,1,2,1,0,0,-0.1,0,33486
346,30-40,0,1,0,2,0,0,0.6,2,33486
346,30-40,0,1,0,0,0,0,0.3,0,33486
346,30-40,0,0,1,0,0,0,0.3,0,33486
346,30-40,2,1,1,0,1,3,-0.5,0,33486
346,30-40,0,1,1,0,1,0,0.8,0,33486
346,30-40,0,1,0,0,0,4,0.9,0,33486
346,30-40,0,1,0,1,1,2,0.1,1,33486
346,30-40,0,1,0,0,1,6,0.3,0,33486
346,30-40,1,1,1,0,1,6,-0.8,0,33486
346,30-40,0,0,2,0,0,0,-0.1,0,33486
345,30-40,1,1,0,1,1,3,0.0,1,36128
345,30-40,0,1,1,0,0,0,0.2,0,36128
345,30-40,1,1,1,2,1,2,0.0,1,36128
345,30-40,0,1,2,1,1,0,-0.8,1,36128
345,30-40,1,1,1,1,1,1,0.2,1,36128
345,30-40,0,1,0,0,0,1,0.3,0,36128
345,30-40,0,1,0,0,1,2,0.5,0,36128
345,30-40,0,1,1,1,1,2,0.6,0,36128
345,30-40,0,1,1,1,0,0,1.5,1,36128
345,30-40,0,1,0,0,1,6,0.4,0,36128
345,30-40,1,1,1,0,1,1,0.5,0,36128
345,30-40,2,1,1,0,1,1,-0.1,0,36128
344,30-40,1,1,1,2,1,1,0.7,0,38107
344,30-40,0,1,0,4,1,0,-0.9,2,38107
344,30-40,1,1,1,2,1,0,-0.3,0,38107
344,30-40,1,1,0,3,1,0,-0.2,1,38107
344,30-40,1,1,1,0,1,1,0.7,0,38107
344,30-40,0,1,2,0,0,1,0.4,0,38107
344,30-40,0,1,1,2,1,1,-0.2,0,38107
344,30-40,0,1,0,2,1,0,0.4,2,38107
344,30-40,0,0,2,1,0,0,0.1,0,38107
343,30-40,1,1,1,1,1,0,-0.1,0,39245
343,30-40,0,1,1,1,1,3,1.1,0,39245
343,30-40,1,1,2,0,1,2,-0.5,0,39245
343,30-40,0,1,2,0,0,1,-0.1,0,39245
343,30-40,0,1,0,1,1,1,0.4,1,39245
343,30-40,0,1,1,1,1,0,0.3,1,39245
343,30-40,1,1,1,0,1,1,0.0,0,39245
343,30-40,1,1,1,0,1,4,-0.4,0,39245
342,30-40,0,1,1,1,1,1,0.1,1,41218
342,30-40,0,1,0,2,0,0,0.6,2,41218
342,30-40,0,1,0,1,1,7,-3.2,1,41218
342,30-40,1,1,1,1,1,0,0.3,0,41218
342,30-40,0,1,1,0,1,4,0.1,0,41218
342,30-40,1,1,2,0,1,0,0.1,0,41218
342,30-40,0,1,0,1,1,4,0.8,1,41218
342,30-40,0,0,1,0,0,1,1.2,0,41218
342,30-40,0,1,0,4,0,0,0.5,0,41218
342,30-40,1,1,1,1,1,0,-0.2,0,41218
342,30-40,0,1,0,2,1,2,2.1,0,41218
342,30-40,0,1,1,1,0,0,1.1,1,41218
342,30-40,3,1,0,1,1,2,-1.5,0,41218
342,30-40,0,1,1,1,1,1,0.6,0,41218
341,30-40,0,0,2,0,0,0,-0.4,0,44260
341,30-40,0,1,0,1,1,1,0.3,1,44260
341,30-40,0,1,1,0,0,0,-0.1,0,44260
341,30-40,0,1,0,0,1,2,-0.1,0,44260
341,30-40,0,1,0,1,1,1,0.6,1,44260
341,30-40,0,0,1,1,0,0,0.1,1,44260
341,30-40,0,0,0,1,1,6,1.6,0,44260
341,30-40,0,1,1,2,0,0,0.0,0,44260
341,30-40,0,0,2,0,0,0,0.3,0,44260
341,30-40,2,1,0,1,1,0,0.3,1,44260
341,30-40,0,1,0,1,1,6,2.6,0,44260
341,30-40,0,1,1,0,1,5,-1.5,0,44260
341,30-40,1,1,1,1,1,0,-0.7,1,44260
341,30-40,0,1,1,1,0,0,0.1,1,44260
341,30-40,0,1,1,0,1,1,1.2,0,44260
341,30-40,1,1,1,1,1,0,-0.2,1,44260
341,30-40,0,1,1,0,1,1,1.9,0,44260
340,30-40,0,1,0,0,1,0,-0.4,0,46613
340,30-40,0,1,0,1,1,0,0.4,1,46613
340,30-40,0,1,0,2,0,0,1.1,1,46613
340,30-40,0,1,1,1,0,0,0.3,0,46613
340,30-40,0,1,0,2,0,0,0.8,2,46613
340,30-40,0,1,0,1,1,3,0.5,1,46613
340,30-40,0,0,1,0,0,0,-0.1,0,46613
340,30-40,0,1,0,1,1,1,-0.6,1,46613
340,30-40,1,1,1,0,1,3,-0.3,0,46613
